PointX=-0.401405, PointY=-0.434270, beamIdx=0, quality=0
PointX=-0.396809, PointY=-0.434619, beamIdx=1, quality=0
PointX=-0.391034, PointY=-0.433440, beamIdx=2, quality=0
PointX=-0.385879, PointY=-0.432955, beamIdx=3, quality=0
PointX=-0.379570, PointY=-0.430924, beamIdx=4, quality=0
PointX=-0.375670, PointY=-0.431810, beamIdx=5, quality=0
PointX=-0.371279, PointY=-0.431837, beamIdx=6, quality=0
PointX=-0.366078, PointY=-0.431278, beamIdx=7, quality=0
PointX=-0.362328, PointY=-0.431955, beamIdx=8, quality=0
PointX=-0.357244, PointY=-0.431241, beamIdx=9, quality=0
PointX=-0.353263, PointY=-0.432055, beamIdx=10, quality=0
PointX=-0.348258, PointY=-0.431222, beamIdx=11, quality=0
PointX=-0.343234, PointY=-0.430378, beamIdx=12, quality=0
PointX=-0.338822, PointY=-0.430235, beamIdx=13, quality=0
PointX=-0.334549, PointY=-0.429958, beamIdx=14, quality=0
PointX=-0.329049, PointY=-0.428201, beamIdx=15, quality=0
PointX=-0.323665, PointY=-0.426332, beamIdx=16, quality=0
PointX=-0.319332, PointY=-0.426028, beamIdx=17, quality=0
PointX=-0.315663, PointY=-0.426390, beamIdx=18, quality=0
PointX=-0.312479, PointY=-0.427551, beamIdx=19, quality=0
PointX=-0.309335, PointY=-0.428660, beamIdx=20, quality=0
PointX=-0.305044, PointY=-0.428227, beamIdx=21, quality=0
PointX=-0.302534, PointY=-0.430004, beamIdx=22, quality=0
PointX=-0.298305, PointY=-0.429480, beamIdx=23, quality=0
PointX=-0.292064, PointY=-0.425701, beamIdx=24, quality=0
PointX=-0.289446, PointY=-0.427485, beamIdx=25, quality=0
PointX=-0.283689, PointY=-0.424483, beamIdx=26, quality=0
PointX=-0.280033, PointY=-0.424628, beamIdx=27, quality=0
PointX=-0.276466, PointY=-0.424692, beamIdx=28, quality=0
PointX=-0.272828, PointY=-0.424780, beamIdx=29, quality=0
PointX=-0.268811, PointY=-0.423960, beamIdx=30, quality=0
PointX=-0.265197, PointY=-0.423989, beamIdx=31, quality=0
PointX=-0.262254, PointY=-0.424699, beamIdx=32, quality=0
PointX=-0.257583, PointY=-0.423101, beamIdx=33, quality=0
PointX=-0.254125, PointY=-0.422970, beamIdx=34, quality=0
PointX=-0.250112, PointY=-0.422044, beamIdx=35, quality=0
PointX=-0.246720, PointY=-0.421834, beamIdx=36, quality=0
PointX=-0.243177, PointY=-0.421693, beamIdx=37, quality=0
PointX=-0.239807, PointY=-0.421432, beamIdx=38, quality=0
PointX=-0.236286, PointY=-0.421237, beamIdx=39, quality=0
PointX=-0.232656, PointY=-0.421082, beamIdx=40, quality=0
PointX=-0.229613, PointY=-0.421667, beamIdx=41, quality=0
PointX=-0.226163, PointY=-0.421370, beamIdx=42, quality=0
PointX=-0.223169, PointY=-0.421888, beamIdx=43, quality=0
PointX=-0.219419, PointY=-0.420636, beamIdx=44, quality=0
PointX=-0.216400, PointY=-0.421129, beamIdx=45, quality=0
PointX=-0.213114, PointY=-0.420670, beamIdx=46, quality=0
PointX=-0.209680, PointY=-0.420269, beamIdx=47, quality=0
PointX=-0.206840, PointY=-0.420615, beamIdx=48, quality=0
PointX=-0.203881, PointY=-0.421001, beamIdx=49, quality=0
PointX=-0.200677, PointY=-0.420431, beamIdx=50, quality=0
PointX=-0.197205, PointY=-0.419971, beamIdx=51, quality=0
PointX=-0.193588, PointY=-0.418510, beamIdx=52, quality=0
PointX=-0.190623, PointY=-0.418825, beamIdx=53, quality=0
PointX=-0.187352, PointY=-0.418215, beamIdx=54, quality=0
PointX=-0.184016, PointY=-0.417617, beamIdx=55, quality=0
PointX=-0.180854, PointY=-0.416924, beamIdx=56, quality=0
PointX=-0.177959, PointY=-0.417134, beamIdx=57, quality=0
PointX=-0.174453, PointY=-0.415521, beamIdx=58, quality=0
PointX=-0.171537, PointY=-0.415705, beamIdx=59, quality=0
PointX=-0.168070, PointY=-0.414042, beamIdx=60, quality=0
PointX=-0.165174, PointY=-0.414182, beamIdx=61, quality=0
PointX=-0.161748, PointY=-0.412470, beamIdx=62, quality=0
PointX=-0.158872, PointY=-0.412568, beamIdx=63, quality=0
PointX=-0.155823, PointY=-0.411696, beamIdx=64, quality=0
PointX=-0.152632, PointY=-0.410862, beamIdx=65, quality=0
PointX=-0.149575, PointY=-0.409961, beamIdx=66, quality=0
PointX=-0.146736, PointY=-0.409976, beamIdx=67, quality=0
